departamento,año,codigo_establecimiento,codigo_departamento,codigo_distrito,distrito,codigo_zona,zona,codigo_barrio_localidad,localidad,codigo_institucion,institucion,sector,anho_cod_geo,primer_grado_hombre,primer_grado_mujer,segundo_grado_hombre,segundo_grado_mujer,tercer_grado_hombre,tercer_grado_mujer,cuarto_grado_hombre,cuarto_grado_mujer,quinto_grado_hombre,quinto_grado_mujer,sexto_grado_hombre,sexto_grado_mujer,septimo_grado_hombre,septimo_grado_mujer,octavo_grado_hombre,octavo_grado_mujer,noveno_grado_hombre,noveno_grado_mujer,total_matriculados_hombre,total_matriculados_mujer
Alto Paraná,2020,1001088,10,1,Ciudad del Este,1,Urbana,7366,8 A 9 MONDAY,6520,ESCUELA BÁSICA N° 1523 JUANA MARÍA DE LARA,Oficial,,100,90,89,106,81,83,78,75,58,55,61,83,71,69,69,66,71,80,678,707
Alto Paraná,2020,1001083,10,1,Ciudad del Este,1,Urbana,7366,8 A 9 MONDAY,6515,ESCUELA BÁSICA N° 2987 JUAN PABLO SEGUNDO,Oficial,,25,23,30,31,26,27,19,28,29,25,40,26,33,25,31,30,23,36,256,251
Alto Paraná,2020,1001090,10,1,Ciudad del Este,1,Urbana,7366,8 A 9 MONDAY,6522,ESCUELA BÁSICA N° 5444 SAN JOSÉ,Oficial,,30,32,37,27,33,29,35,25,23,35,19,23,19,28,22,21,16,16,234,236
Alto Paraná,2020,1001271,10,1,Ciudad del Este,1,Urbana,7363,9 A 10 ACARAY,11163,ESCUELA BÁSICA N° 6080 INSTITUTO PANAMERICANO,Privado,,6,1,3,5,2,0,0,3,2,3,1,0,1,1,0,1,1,2,16,16
Alto Paraná,2020,1001286,10,1,Ciudad del Este,1,Urbana,7363,9 A 10 ACARAY,15252,ESCUELA BÁSICA N° 6366 VIRGEN DE ASUNCIÓN,Oficial,,9,18,10,15,8,11,14,6,5,9,9,8,0,0,0,0,0,0,55,67
Alto Paraná,2020,1001176,10,1,Ciudad del Este,1,Urbana,7363,9 A 10 ACARAY,6669,ESCUELA BÁSICA N° 6672 ACOSTA ÑÚ,Oficial,,13,10,22,16,13,20,18,13,17,7,12,9,0,0,0,0,0,0,95,75
Alto Paraná,2020,1001369,10,1,Ciudad del Este,1,Urbana,7363,9 A 10 ACARAY,17251,ESCUELA BÁSICA N° 8173 SANTA TERESA,Privado,,15,16,14,12,16,10,4,4,11,2,0,2,4,8,6,2,3,2,73,58
Alto Paraná,2020,1001089,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,6521,ESCUELA BÁSICA N° 1016 PRESBÍTERO GUIDO CORONEL,Oficial,,30,28,28,34,38,29,34,20,25,32,27,25,19,24,23,18,13,16,237,226
Alto Paraná,2020,1001091,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,6523,ESCUELA BÁSICA N° 2970 VIRGEN DE FÁTIMA,Oficial,,23,38,20,27,34,26,24,26,31,30,21,25,27,22,19,30,14,27,213,251
Alto Paraná,2020,1001232,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,6726,ESCUELA BÁSICA N° 5458 ADELA SPERATTI,Oficial,,24,20,36,27,36,29,38,27,28,31,22,19,23,19,19,25,9,24,235,221
Alto Paraná,2020,1001266,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,10973,ESCUELA BÁSICA N° 6109 INMACULADA CONCEPCIÓN,Oficial,,18,23,14,19,17,16,18,11,10,12,11,10,19,15,18,13,13,15,138,134
Alto Paraná,2020,1001313,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,13140,ESCUELA BÁSICA N° 7155 KUARAHY RESE,Oficial,,16,6,15,14,10,16,6,8,9,4,8,5,7,5,10,1,11,9,92,68
Alto Paraná,2020,1001285,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,15251,ESCUELA BÁSICA N° 7161 SANTA LIBRADA,Oficial,,20,21,22,19,17,19,19,17,11,18,11,13,21,10,12,5,9,8,142,130
Alto Paraná,2020,1001335,10,1,Ciudad del Este,1,Urbana,7360,9 A 11 MONDAY,16189,ESCUELA BÁSICA N° 7570 SAN FRANCISCO DE ASÍS,Oficial,,7,8,4,7,11,6,2,10,9,7,7,3,3,6,4,6,0,0,47,53
Alto Paraná,2020,1001050,10,1,Ciudad del Este,1,Urbana,7361,AREA 1,6482,ESCUELA BÁSICA N° 1632 AUGUSTO ROA BASTOS,Oficial,,59,63,66,55,67,46,52,61,68,52,59,62,57,67,70,91,80,85,578,582
Alto Paraná,2020,1001051,10,1,Ciudad del Este,1,Urbana,7361,AREA 1,6483,ESCUELA BÁSICA N° 5407 CENTRO EDUCACIONAL CRISTIANO,Privado,,14,17,16,13,12,12,18,9,14,14,11,11,9,15,18,27,12,23,124,141
Alto Paraná,2020,1001007,10,1,Ciudad del Este,1,Urbana,7323,AREA 3,11041,ESCUELA BÁSICA N° 1189 SAGRADA FAMILIA,Oficial,,45,44,64,51,44,34,45,47,41,43,39,46,38,48,46,39,36,55,398,407
Alto Paraná,2020,1001017,10,1,Ciudad del Este,1,Urbana,7329,AREA 4,6449,ESCUELA BÁSICA N° 1633 ESPÍRITU SANTO,Oficial,,77,82,75,75,72,72,60,76,66,69,67,66,63,69,66,52,44,53,590,614
Alto Paraná,2020,1001008,10,1,Ciudad del Este,1,Urbana,7329,AREA 4,6440,ESCUELA BÁSICA N° 3227 ARANDURÁ,Privado,,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
Alto Paraná,2020,1001009,10,1,Ciudad del Este,1,Urbana,7365,AREA 8,6441,ESCUELA BÁSICA N° 8172 ANTONIO PROVOLO,Privado Subvencionado,,12,21,24,17,14,20,22,17,17,22,12,16,20,12,14,10,6,12,141,147
Alto Paraná,2020,1001025,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6457,CENTRO REGIONAL DE EDUCACIÓN DOCTOR JOSÉ GASPAR RODRÍGUEZ DE FRANCIA,Oficial,,101,85,94,104,100,95,62,104,96,99,92,107,102,115,119,128,126,153,892,990
Alto Paraná,2020,1001026,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6458,ESCUELA BÁSICA N° 1229 SANTA TERESITA DEL NIÑO JESÚS,Privado,,29,27,29,33,30,30,23,27,28,26,30,25,33,26,22,41,19,31,243,266
Alto Paraná,2020,1001114,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6546,ESCUELA BÁSICA N° 14941 BAUTISTA DEL ALTO PARANÁ,Privado,,15,24,20,24,9,13,15,18,15,10,16,17,27,20,10,17,13,14,140,157
Alto Paraná,2020,1001029,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6461,ESCUELA BÁSICA N° 2174 GIMNASIO DEL SABER,Privado,,27,35,27,27,16,20,20,18,15,19,30,19,16,21,29,17,20,28,200,204
Alto Paraná,2020,1001023,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6455,ESCUELA BÁSICA N° 5410 SEMBRADOR,Privado,,8,9,13,12,5,4,11,5,10,7,9,7,4,11,10,10,14,10,84,75
Alto Paraná,2020,1001021,10,1,Ciudad del Este,1,Urbana,7326,BOQUERON,6453,ESCUELA BÁSICA N° 5447 INMACULADA CONCEPCIÓN,Privado,,31,38,41,37,32,39,28,26,23,24,29,42,31,34,44,38,34,34,293,312
